Lamar,Alexander,TN,,
Tammy,Baldwin,WI,,
John,Barrasso,WY,,
Michael,Bennet,CO,,
Richard,Blumenthal,CN,,
Roy,Blunt,MO,,
Cory,Booker,NJ,,
John,Boozman,AR,,
Sherrod,Brown,OH,,
Richard,Burr,NC,,
Maria,Cantwell,WA,,
Shelley Moore,Capito,WV,Shelley,
Ben,Cardin,MD,,
Tom,Carper,DE,,
Bob,Casey,PA,,
Bill,Cassidy,LA,,
Thad,Cochran,MS,,
Susan,Collins,ME,,
Chris,Coons,DE,,
Bob,Corker,TN,,
John,Cornyn,TX,,
Catherine,Cortez Masto,NV,,
Tom,Cotton,AR,,
Michael,Crapo,ID,Mike,
Ted,Cruz,TX,,
Steve,Daines,MT,,
Joe,Donnelly,IN,,
Tammy,Duckworth,IL,,
Richard,Durbin,IL,,
Michael,Enzi,WY,,
Joni,Ernst,IA,,
Dianne,Feinstein,CA,,
Deb,Fischer,NE,,
Jeff,Flake,AZ,,
Al,Franken,MN,,
Cory,Gardner,CO,,
Kirsten,Gillibrand,NY,,
Lindsey,Graham,SC,,
Chuck,Grassley,IA,,
Kamala,Harris,CA,,
Maggie,Hassan,NH,,
Orrin,Hatch,UT,,
Martin,Heinrich,NM,,
Heidi,Heitkamp,ND,,
Dean,Heller,NV,,
Mazie,Hirono,HI,,
John,Hoeven,ND,,
James,Inhofe,OK,Jim,
Johnny,Isakson,GA,,
Ron,Johnson,WI,,
Tim,Kaine,VA,,
Angus,King,ME,,
Amy,Klobuchar,MN,,
James,Lankford,OK,,
Patrick,Leahy,VT,,
Mike,Lee,UT,,
Joe,Manchin III,WV,,Manchin
Ed,Markey,MA,,
John,McCain,AZ,,
Claire,McCaskill,MO,,
Mitch,McConnell,KY,,
Bob,Menendez,NJ,,
Jeff,Merkley,OR,,
Jerry,Moran,KS,,
Lisa,Murkowski,AK,,
Chris,Murphy,CN,,
Patty,Murray,WA,,
John,Neely Kennedy,LA,,
Bill,Nelson,FL,,
Rand,Paul,KY,,
David,Perdue,GA,,
Gary,Peters,MI,,
Rob,Portman,OH,,
Jack,Reed,RI,,
Jim,Risch,ID,,
Pat,Roberts,KS,,
Mike,Rounds,SD,,
Marco,Rubio,FL,,
Bernie,Sanders,VT,,
Ben,Sasse,NE,,
Brian,Schatz,HI,,
Charles,Schumer,NY,Chuck,
Tim,Scott,SC,,
Jeff,Sessions,AL,,
Jeanne,Shaheen,NH,,
Richard,Shelby,AL,,
Debbie,Stabenow,MI,,
Dan,Sullivan,AK,,
Jon,Tester,MT,,
John,Thune,SD,,
Thom,Tillis,NC,,
Pat,Toomey,PA,,
Tom,Udall,NM,,
Chris,Van Hollen,MD,,
Mark,Warner,VA,,
Elizabeth,Warren,MA,,
Sheldon,Whitehouse,RI,,
Roger,Wicker,MS,,
Ron,Wyden,OR,,
Todd,Young,IN,,